Gene,label_encoded,BrainSpinalcordcervicalc1_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,FallopianTube_GTExTPM,Liver_GTExTPM,EsophagusMucosa_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,MuscleSkeletal_GTExTPM,Testis_GTExTPM,Spleen_GTExTPM,Pituitary_GTExTPM,WholeBlood_GTExTPM,AdrenalGland_GTExTPM,GDI_Phred,Effect_SBP_Median,Effect_PP_Median,Effect_DBP_Median,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,ExomiserScore_IncreasedBP_MultiHPOTerms,ExomiserScore_DecreasedBP_MultiHPOTerms,RVIS_genic_intolerance
NDUFB10,1.0,117.224,166.033,333.586,171.178,94.6416,124.586,138.357,194.183,429.817,166.737,126.654,112.025,68.0722,127.586,0.70328,0.0131,-0.00205,0.0079,0.239817828,0.046629914,0.06607077,0.500013105,0.500383337,-0.47
NDUFAB1,1.0,40.1868,63.4478,158.701,59.9988,43.7203,53.8709,104.033,59.5629,106.533,56.9655,46.3289,69.4162,9.29395,65.8298,0.35281,-0.0038,-0.0198,0.0032,0.550109684,0.755255332,0.127027129,0.500078764,0.500488883,-0.21
VKORC1,1.0,54.9631,96.1636,32.5123,148.864,244.214,52.488,97.3414,306.698,17.7855,97.4639,75.8487,171.048,41.865,112.419,0.21368,0.0374,-0.0091,-0.0016,0.139342904,0.081803076,0.079359216,0.500036397,0.500456604,0.19
SLC6A2,1.0,0.0155809,0.0868139,0.0,0.230239,0.0514698,0.0789777,0.0,0.00813318,0.00930065,6.57083,0.0,0.0,0.0,0.260956,3.00986,-0.0039,-0.0075,-0.0014,0.756070495,0.2771183,0.137548853,0.500121811,0.502034344,-0.44
SLC12A3,1.0,0.0428508,24.9413,0.0,0.0446556,0.010241,0.033439,0.348518,0.0,0.0057934,0.165843,0.749872,0.0455474,0.031119,0.00967003,6.56344,-0.0007,0.002,0.0055,0.250911236,5.54e-18,0.119781483,0.577262555,0.96018788,-1.62
TUBB3,1.0,24.0836,2.96456,0.761237,1.10894,0.135267,1.28741,0.658431,48.0179,0.172558,45.8705,0.660208,38.0586,0.150437,8.74397,0.30705,-0.0006,-0.0339499999999999,0.00115,0.626313508,0.960789307,0.156063725,0.500008159,0.500050723,-0.76
ADORA2B,1.0,1.17597,0.90575,0.985767,2.16182,0.261175,13.801,0.36612,11.6443,0.348083,3.06145,0.970129,3.84967,1.0522,1.84249,4.40801,0.0185,0.0143,0.0034,0.517467737,2.01e-05,0.078592804,0.532250116,0.735949176,0.64
SLC6A4,1.0,0.128064,0.194622,0.0460676,0.306704,0.0419469,1.64547,1.77677,0.0461832,0.0637374,0.688546,0.248634,0.172285,0.130236,0.0889003,2.33887,0.0074,0.0023,0.0035,0.761866033,0.854880095,0.156509966,0.503581992,0.504553919,-0.6
CA4,1.0,3.4822,16.3461,9.74304,3.97963,0.16907,0.501134,0.434169,0.045292,2.99493,1.0863,10.8483,12.5266,36.1839,0.452809,2.16362,0.0361,0.0031,0.0173499999999999,0.209607884,0.01080885,0.344252042,0.500312556,0.500397364,0.22
CHRNB1,1.0,8.94195,8.1087,4.14626,5.76212,7.79498,5.76331,9.51713,3.92235,92.0056,4.33191,7.38551,7.20542,2.01193,29.2805,6.90787,-0.0771,0.0003,-0.0072,0.322640508,4.34e-06,0.120892867,0.500019465,0.514229726,-0.4
