Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
C1orf86,0.29272187414285705,15.686994857142853,20.27541714285714,11.310334857142855,24.461126285714286,31.132308571428563,11.443012142857143,11.592333142857145,43.511928571428584,26.039622857142856,-0.006400561951374055,895.0868945714287,0.508349061,0.785170903,0.11684752005714287,213.0
SKI,0.50454051,19.5494,32.0796,15.2111,11.7641,58.6372,15.6877,11.8519,33.2034,20.7518,0.0031251117474975,335.72865,0.782960892,0.9814021,0.171522619,461.0
CDK11B,0.0,14.2306,19.7912,13.1947,31.1642,28.3458,10.7018,17.6955,61.8168,19.9003,0.0135872735085157,1079.6048230000001,0.458788931,0.72829444,0.068961404,158.88571428571427
GNB1,0.0,168.75,125.254,54.3285,267.368,327.216,50.2296,152.405,133.501,148.303,-0.0107319992667087,0.82137,0.782960892,0.995187833,0.314416017,107.0
SLC35E2B,0.500015994,8.36816,13.6278,5.70966,29.7038,25.5491,9.63684,13.8922,13.469,23.0114,-0.0262510703961242,371.7156721428572,0.328262568,0.621002459,0.05262641,222.34285714285716
CDK11A,0.500044101,5.87076,11.1957,5.67818,17.9761,15.141,10.4517,14.1976,37.905,16.3404,0.0224743591991318,471.1101214285715,0.370475143,5.24e-05,0.070668702,76.62857142857143
NADK,0.504925863,10.024,22.0482,9.18975,50.211,35.1151,51.4891,112.687,42.537,67.8669,-0.0215617937224974,176.4511,0.446246326,0.00126769,0.051636578,22.0
PEX10,0.511247774,13.068,11.1932,5.61396,15.2465,20.1057,6.23842,2.0224,33.5403,23.3003,0.0355698259985771,144.47811,0.390338778,0.010463632,0.073154913,63.0
CALML6,0.505031873,1.1048,1.35184,0.115557,0.355318,0.82992,1.83434,0.174714,4.49304,0.615128,0.0036483158590224,1517.43214,0.341067612,0.000127437,0.068829781,41.0
TMEM52,0.0,0.759687,1.16772,0.616184,0.230132,0.649493,4.98971,0.069985,42.3609,42.9509,0.00252680493787,6319.18345,0.146139458,0.328693114,0.053038083,20.0
