Gene,label,HIPred_haploinsufficiency,Effect_DBP_Median,Effect_PP_Median,Effect_SBP_Median,ExomiserScore_DecreasedBP_MultiHPOTerms,ExomiserScore_IncreasedBP_MultiHPOTerms,SDI_essentiality,SDI_Drug_Probability,humancellsensitivity,humancellspecificity,mousecellsensitivity,mousecellspecificity,panglao_ubiquitousness_index,gene_damage_index_score,GDI_Phred,huge_htn_bioindex,pLI_exac,RVIS_genic_intolerance,AdiposeSubcutaneous_GTExTPM,AdiposeVisceralOmentum_GTExTPM,AdrenalGland_GTExTPM,ArteryAorta_GTExTPM,ArteryCoronary_GTExTPM,ArteryTibial_GTExTPM,Bladder_GTExTPM,BrainAmygdala_GTExTPM,BrainAnteriorcingulatecortexBA24_GTExTPM,BrainCaudatebasalganglia_GTExTPM,BrainCerebellarHemisphere_GTExTPM,BrainCerebellum_GTExTPM,BrainCortex_GTExTPM,BrainFrontalCortexBA9_GTExTPM,BrainHippocampus_GTExTPM,BrainHypothalamus_GTExTPM,BrainNucleusaccumbensbasalganglia_GTExTPM,BrainPutamenbasalganglia_GTExTPM,BrainSpinalcordcervicalc1_GTExTPM,BrainSubstantianigra_GTExTPM,BreastMammaryTissue_GTExTPM,CellsCulturedfibroblasts_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CervixEctocervix_GTExTPM,CervixEndocervix_GTExTPM,ColonSigmoid_GTExTPM,ColonTransverse_GTExTPM,EsophagusGastroesophagealJunction_GTExTPM,EsophagusMucosa_GTExTPM,EsophagusMuscularis_GTExTPM,FallopianTube_GTExTPM,HeartAtrialAppendage_GTExTPM,HeartLeftVentricle_GTExTPM,KidneyCortex_GTExTPM,KidneyMedulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,MinorSalivaryGland_GTExTPM,MuscleSkeletal_GTExTPM,NerveTibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,SkinNotSunExposedSuprapubic_GTExTPM,SkinSunExposedLowerleg_GTExTPM,SmallIntestineTerminalIleum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,WholeBlood_GTExTPM
PDE4D,probable,0.786468923,0.0006,0.00015,0.0015,0.373424692,0.265850241,6.89843022,0.137479315,0.0,0.0153509,0.15,0.0214493,0.021,15.63977,0.55771,1.102072032,0.983199686,-1.38,3.28775,6.09162,0.430046,5.02026,6.43242,19.754,12.5155,1.45469,2.84402,1.39656,2.42389,2.89799,3.02706,4.13533,1.46448,2.64732,1.99093,1.04822,2.50229,1.89499,3.49614,8.53553,1.09279,3.72927,4.28702,16.5809,6.5457,5.99368,1.92818,6.06949,4.60816,5.87428,2.69194,3.43723,3.10792,0.471151,11.0279,3.31059,23.0938,4.75166,1.23675,0.385796,5.6037,11.1936,2.58573,2.36612,4.5466,2.39169,3.97248,1.35741,4.95656,5.3184,5.84143,2.54219
NDUFAF2,probable,0.150240377,0.0005,-0.0077,-0.00505,0.501060617,0.500000836,1.6697435,0.067467745,,,,,,12.55307,0.45787,,3.86e-07,0.08,31.5651,31.9018,24.5612,41.3095,39.5847,46.5038,37.1108,17.7063,21.8296,20.1108,23.9155,19.6417,21.1817,26.3859,16.9812,23.5419,26.0814,17.3854,21.9146,18.1268,30.5155,65.3496,34.8433,35.9744,36.1813,39.9333,23.897,43.4209,24.4721,41.3051,32.649,20.1049,17.9941,13.9729,23.4937,9.34685,22.4198,18.7508,27.6829,34.2649,36.1855,10.7048,39.3099,28.3261,17.1171,15.8456,17.0507,14.7342,18.2053,34.5848,23.5103,33.143,30.7061,1.85818
HMGCR,probable,0.782960892,-0.0071,0.0195,0.012,0.502292782,0.501021861,3.83308022,0.091605832,,,,,,48.92052,1.36596,1.0,0.999836645,-0.49,9.50821,9.03004,42.4403,9.12039,9.42319,9.16114,11.3986,11.5166,17.4066,11.2736,31.9194,26.1719,19.8297,28.7629,12.5122,19.6239,15.6775,8.64789,19.8595,8.8919,10.5633,25.6463,66.1478,10.4948,16.3318,10.2756,23.379,9.14244,63.8114,9.03911,14.6855,3.80729,2.63354,9.15612,11.4915,13.3229,22.7269,15.7718,2.71282,20.2413,14.0246,6.45364,15.0652,11.9059,80.3961,73.7741,20.0478,16.0471,14.7552,26.3421,20.171,13.6338,42.8618,7.94287
PDE8B,probable,0.748882174,0.0012,0.0003,0.0147,0.630049073,0.521445425,0.0,0.051636578,,,,,,135.71543,2.53301,,0.986862336,-0.69,18.2021,14.1845,1.89881,30.1648,5.72173,15.783,4.04124,13.2554,19.8993,15.2519,6.57831,6.35289,19.8823,22.3936,10.8236,17.9627,16.8103,14.2074,7.32415,10.4131,8.93553,1.18919,0.690089,17.7681,27.475,5.61538,2.60855,2.06143,1.8322,1.49221,27.9426,13.2573,0.686298,2.52408,9.30213,0.934934,6.79586,9.27581,0.482046,4.08035,4.38977,2.65333,13.9158,18.1467,2.02655,2.61673,2.3609,1.131,2.80826,4.2298,110.532,32.8831,6.07589,0.17499
PDE7B,probable,0.707306206,0.00255,0.0002,0.0052,0.502584155,0.500067132,0.0,0.052631346,,,,,,81.71899,1.91609,,0.946452269,-0.29,5.61368,6.37486,2.49925,1.19162,2.85933,3.02084,8.9719,4.45951,4.78923,14.3227,1.06838,1.18068,6.31604,7.25404,2.97729,5.67094,17.4079,11.1378,2.48301,4.10984,3.35762,10.9969,0.0292788,5.79335,6.15045,3.34225,2.35955,3.58739,0.994472,4.04722,4.79878,3.16008,2.91106,3.60543,5.93402,1.28813,1.89467,1.75674,1.65588,8.14695,18.4538,0.434873,4.79873,6.37528,0.760601,1.1269,2.8622,1.15332,2.03143,1.83188,7.87728,12.0502,4.90131,0.0479097
ESR1,probable,0.762403488,0.0041,0.0,0.00445,0.53184247,0.502062481,11.79347495,0.251877542,0.0,0.000944287,0.538462,0.00463082,0.004,148.46269,2.6565,,0.987167021,0.24,2.0679,1.57471,1.06957,2.719,2.52086,2.77405,1.9739,0.118863,0.118781,0.147093,0.883599,1.33377,0.220201,0.149656,0.120349,0.415845,0.198437,0.0901297,0.210326,0.114166,5.76179,0.322275,0.112573,48.6505,88.8666,0.521786,0.357631,0.879261,0.309111,0.686675,43.2436,0.715569,0.305118,0.775318,0.764026,3.52714,1.80915,0.563924,0.598896,2.13021,7.71652,0.236908,5.81573,5.07228,0.842961,0.728544,0.538486,1.35313,0.310869,2.73794,2.55133,60.7347,45.5687,0.109503
OPRM1,probable,0.45271197,0.0005,-0.0007,0.0009,0.501429656,0.500486959,14.75014718,0.345982699,0.0,0.00281955,0.0,0.0,0.0,2304.1461,8.88891,1.0,4.21e-05,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319983,0.0433117,0.0265592,0.832253,1.45343,0.0580372,0.0707267,0.00603042,0.130138,0.144682,0.0112353,0.0100074,0.0,0.0,0.0,0.0,0.0,0.0,0.011366,0.0,0.0,0.0,0.0,0.00719869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014081,0.0,0.0,0.0,0.0,0.0,0.0,2.53345,0.0,0.0,0.0,0.0
PDE10A,probable,0.80871886,0.00235,0.0018,0.0049499999999999,0.251926434,0.251286563,2.99056035,0.080656714,0.0,0.00281955,0.689655,0.0301066,0.024,48.90667,1.36535,45.0,0.998485351,-0.98,1.88538,2.8392,0.758606,1.41557,2.6686,1.15037,1.387,0.905014,1.01001,11.8297,6.46952,5.91233,1.38525,1.56229,1.252,1.60629,7.5298,11.0251,0.712576,1.00627,2.58744,0.0426472,0.0121974,2.13595,2.5862,1.21656,0.571586,0.947948,0.383577,0.890048,4.64491,0.965037,1.3565,2.10473,1.32199,0.149176,1.24747,0.5471,0.181882,1.94075,3.64135,0.252327,4.02766,2.01036,0.356114,0.314256,0.783291,1.49021,0.886792,4.75542,4.95209,3.97511,1.15045,0.00485294
TNF,probable,0.462009788,-0.0043,0.0082,0.0562,0.420509992,0.302692417,8.79034508,0.175564397,0.0,0.00126342,0.0,0.0,0.008,15.40629,0.55317,3.0,0.27282919,-0.03,0.245964,1.0557,0.742848,0.538432,0.540318,0.0931593,0.255521,0.0921465,0.064928,0.110585,0.0811046,0.0751091,0.107208,0.0973311,0.10688,0.0901489,0.0948527,0.0973808,0.20852,0.175496,0.516196,0.129002,133.014,0.135166,0.0934448,0.497202,0.757424,0.333264,0.697906,0.396716,0.454861,0.344797,0.432489,0.856647,0.863079,0.304562,2.68089,0.35177,0.079664,0.113436,0.110841,0.134426,0.23107,0.251783,1.68116,1.23204,2.02127,8.95982,0.39238,0.173506,0.275485,0.227657,0.251793,4.5664
BRD2,probable,0.422697425,0.00695,-0.0034,0.0241,0.4758872689999999,0.340750858,2.61695585,0.076524065,,,,,,1065.99604,6.26213,45.07845401000001,0.99953088,-0.02,122.176,105.415,92.3797,132.132,123.779,149.223,133.632,42.387800000000006,49.8307,45.4017,167.945,164.257,65.8301,63.6071,47.3061,47.1361,47.0994,37.761199999999995,62.50849999999999,43.4693,118.742,100.876,148.857,158.154,173.423,122.39,93.7085,119.36,102.42,106.628,165.892,44.5167,31.412,66.0311,101.947,49.613,142.203,103.481,52.788,159.032,171.8,53.5312,152.142,136.101,115.01,121.571,111.025,150.807,89.1872,175.57199999999995,197.135,179.48,135.398,67.5286
